44, ဢၢင် - တူဝ်ၽႅတ်းသဵင်လင်, "ပူႇၵၢင်ႉၶီႇၸၢင်ႉမႃး ၵၢင်ၼႂ်ၸဝ်ႉၾႃႉပၢင်ႇ လၢင်ႉမေႃႈၶၢင်ဝႆႉတႃႉ ၽူႈတၢင်တူဝ်ၵူၼ်းၼုမ်ႇ ႁၢင်ႈလီႁၢင်ႈငၢမ်းတႄႉ"
45, ဢိင် - တူဝ်ၽႅတ်းသဵင်လင်, "လိင်းမီးၼိူဝ်ၵိင်ႇမႆႉ ၸၢႆးၸိင်ႇၼွၼ်းဢိင်သဝ် ၶိင်းၵၢင်ႉၵူဝ်ပိင်ၼႃႇ ၾိင်ႈငႄႈယႃႇႁႂ်ႈႁၢႆ ပႃးတိင်ႇပႃးၶိင်မႃး"
46, ဢဵင် - တူဝ်ၽႅတ်းသဵင်လင်, "ဢဝ်ၵဵင်းမႃးတမ်းဝႆႉ ၵူၼ်းၼုမ်ႇၼႂ်းဝဵင်းႁဝ်း ၽွမ်ႉသဵင်ၵၼ်သဵင်ႈသဵင်ႈ တူၺ်းၵၼ်ႁႂ်ႈၽဵင်ႇၽဵင်ႇ ၵၢင်ဝၼ်းၸမ်တဵင်ႈယဝ်ႉ"
47, ဢႅင် - တူဝ်ၽႅတ်းသဵင်လင်, "ၸၢႆးလႅင်မီးသႅင်လီ ၼႄဝႆႉႁႂ်ႈၸႅင်ႈလႅင်း ၼၢင်းသႅင်မႃးဢဝ်တႅင် ၶၢဝ်းႁိုဝ်ႉတေႃႇၶၢဝ်းႁႅင်ႈ ဝႆႉၸႂ်ၶႅင်ၶႅင်တႃႉ"
48, ဢုင် - တူဝ်ၽႅတ်းသဵင်လင်, "လုင်းႁဝ်းမႄးပုင်းၼမ်ႉ ယႃႇပေဢဝ်မႆႉပုင်ႈ ၼုင်ႈၶူဝ်းၼုင်ႈၸွမ်းထုင်း မႆႉႁုင်းမီးၼိူဝ်ၵုင်း မုင်ႈတူၺ်းတီႈသုင်သုင်"
49, ဢူင် - တူဝ်ၽႅတ်းသဵင်လင်, "ၽုၺ်ႇႁူင်းႁဵၼ်းၸၼ်ႉသုင် ၶူးသွၼ်ၼၢင်းၶမ်းၽူင်း ပႆလူင်းႁူင်းသွၼ်မႃး ပႃးထူင်လႄႈပပ်ႉလိၵ်ႈ ဝူင်ႈၼႆႉသိုဝ်ႉလူင်ႈမိူဝ်း"
50, ဢွင် - တူဝ်ၽႅတ်းသဵင်လင်, "ၵွင်မွင်းႁဝ်းလင်ၼႃႇ သဵင်မွင်းဝႃႈတွင်းတွင်း ၸၢႆးၶွင်ႇၼင်ႈတၢင်းႁွင်ႇ ၼၢင်းၽွင်တေႁွင်ႉၵႂၢမ်း ၼၢင်းၵွင်ၵင်ႈၸွင်ႈယူႇ"
51, ဢိုင် - တူဝ်ၽႅတ်းသဵင်လင်, "ၽွမ်ႉၵၼ်မိူၼ်ၼင်ႇၽိုင်ႈ ၶိုင်ပွင်ၵၢၼ်မူႇၸုမ်း ႁႂ်ႈထိုင်တီႈလီလီ ယႃႇပေမိုင်ႉငဝ်ယူႇ ပူၼ်ႉမႃးႁိုင်ၼႃႇယဝ်ႉ"
52, ဢိူင် - တူဝ်ၽႅတ်းသဵင်လင်, "ပိူင်းၾႆးပၼ်ႁဝ်းလႄႈ ႁဝ်းတေၶိုင်ႁႂ်ႈႁိူင်း ယႃႇပေပၼ်မၼ်းပိူင်ႈ ယိူင်ႈၸွမ်းပိူင်မီးတႃႉ ႁႂ်ႈထိုင်တီႈယိူင်းမၢႆ"
53, ဢပ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "တေႁၼ်ၼႂ်းပပ်ႉယူႇ ၶပ်ႉႁႂ်ႈၸပ်းၸပ်းတႃႉ ၼပ်ႉၼပ်ႉသွၼ်ႇသွၼ်ႇလႄႈ လိူၼ်လပ်းလပ်ႉလႅဝ်းဝႆႉ ႁဝ်းတေၵႂႃႇႁပ်ႉသူ"
54, ဢၢပ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "ၸွႆႈၵၼ်ႁၢပ်ႇဢမ်ႇယၢပ်ႇ ၽႂ်မၢပ်ႇႁဝ်းဢမ်ႇလႆႈ ၵၢပ်ႇၼႃတီႈငၢပ်ႇၽႃ ၶၢပ်ႈၵၢပ်ႇမိူဝ်ႈၵေႃႈမီး ပၢပ်ႈဢဝ်ယၢပ်ႇတႄႉတႄႉ"
55, ဢိပ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "ဢဝ်ထူႇၵိပ်ႈဝႆႉလႄႈ ယႃႇပေယိပ်းတပ်းလိပ်း မႆႉလိပ်းမီးသိပ်းလႅမ်ႈ ယႃႇပေဢဝ်တိၼ်ထိပ်ႇ ၵူဝ်ၶႃသူလိပ်ႈဢိူဝ်ႈ"
56, ဢဵပ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "မႃးလႄႈႁဝ်းၵဵပ်းႁဵပ်း ၼဵပ်ႉမိုဝ်းသူယၢဝ်းၼႃႇ ယႃႇယဵပ်ႇၶိုၼ်ႈယဵပ်ႇလူင်း လဵပ်ႈမႃးၽၢႆႇၼႆႉလႄႈ သူယဵပ်ႉၶူဝ်းယဝ်ႉၼႄႇ"
57, ဢႅပ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "တိုဝ်းၶႅပ်းႁႂ်ႈလႅပ်ႈလႅပ်ႈ ယႃႇပေၽႅပ်ႉတႃတူၺ်း ၵူဝ်တႃၸဵပ်းသႅပ်ႇဢိူဝ်ႈ ထူဝ်ႇတႅပ်ႇမီးၼႂ်းသူၼ် ယႃႇပေတႅပ်းၶိူဝ်းမၼ်း"
58, ဢုပ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "သုပ်းၵုပ်းသေဢုပ်ႇၵၼ် မႂ်းၼႆႉလုပ်ႉလၢပ်ႉၼႃႇ တုပ်ႇၸွင်ႈဝႆႉသေလႄႈ ၼိူဝ်ႉဢုပ်ႉမီးၼႂ်းဢုပ်း ယႃႇပေထုပ်ႉပေႃႉၼႃႈ"
59, ဢူပ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "ၵူပ်းၼႆႉဢမ်ႇၸၢင်ႈၶူပ်း တူပ်ႉၽႃႈလူပ်းသူလႄႈ ၶူပ်းၶူပ်းၶိုၼ်ႈၶိုၼ်ႈၼႃႇ ယႃႇဢႃႈသူပ်းႁႅၼ်ၵၢင်း ငူပ်ႉဝၢၼ်ႇဝႆႉသေလႄႈ"
60, ဢွပ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "ႁွပ်ႇၼွင်ႉသူဝႆႉလႄႈ ၶွပ်ႈၶူပ်ႇၼိုင်ႈပီၼႆႉ လီတွပ်ႇၵုင်ႇပေႃႈမႄႈ ၵွပ်ႈၶဝ်တူၺ်းထိုင်ႁဝ်း သွပ်ႉသႅပ်ႉတွပ်ႇၵႂၢမ်းၶဝ်"
61, ဢိုပ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "မႆသိုပ်ႇမီးလၢႆၶိုပ်ႈ လီလိုပ်ႈၸိူဝ်းၽူႈၶဵၼ် ပေႃးၶၢၼ်ႉၸၢင်ႈဢိုပ်းဢိူဝ်ႈ တီႈငိုပ်းၼႆႉဢမ်ႇလီ ယႃႇပေတိုပ်ႈတိၼ်လႄႈ"
62, ဢိူပ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "တီႈငိူပ်ႇၽႃမီးထမ်ႈ ၼႂ်းထမ်ႈမီးဢိူပ်ႇၶမ်း မီးတီႈလွႆၽႃငိူပ်ႇ ဢဝ်ဝႆႉၼႂ်းပိူပ်ႈၼမ်ႉ ဢိူပ်ႇၶူဝ်းၵေႃႈမီးဢိူဝ်ႈ"
